id;type;name;address;x;y
930871452;parking;;"Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.833136;66.869707
930875735;playground;;"Молодёжная улица, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.837383;66.869495
930875989;parking;;"Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.833446;66.868848
930875990;parking;;"Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.834387;66.869027
930921676;school;;"14, улица Худи Сэроко, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.840030;66.861512
931036283;playground;;"Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.837218;66.864431
931454867;pitch;;"Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.849220;66.860288
931454873;parking;;"Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.847492;66.857209
931454874;parking;;"Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.848027;66.856964
931473317;school;Школа-интернат им. Василия Давыдова;"Школа-интернат им. Василия Давыдова, улица Мира, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.846335;66.861331
931484559;playground;;"улица Фёдорова, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.832229;66.864327
931484563;parking;;"Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.841976;66.861288
